Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Care (product.metafields.custom.care),Description (product.metafields.custom.description1),description (product.metafields.custom.description2),free shipping in the USA (product.metafields.custom.free_shipping_in_the_usa),HID (product.metafields.custom.hid),materials  (product.metafields.custom.materials_),Measurments (product.metafields.custom.measurments),placemats (product.metafields.custom.placemats),Related Size - Large (product.metafields.custom.related_size_large),Related Size - Medium (product.metafields.custom.related_size_medium),shipping and returns  (product.metafields.custom.shipping_and_returns),TINUUID (product.metafields.custom.tinuuid),Care guide (product.metafields.descriptors.care_guide),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Cover color (product.metafields.shopify.cover-color),Cover material (product.metafields.shopify.cover-material),Fabric (product.metafields.shopify.fabric),Shape (product.metafields.shopify.shape),Throw pillow shape (product.metafields.shopify.throw-pillow-shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
l-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250714_101110.png?v=1752477932,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250714_102645.png?v=1752478078,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Screenshot_2025-07-14_at_11.37.07.png?v=1757400395,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede-copy,(M) Hull Basket in Cobalt Ultra suede,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.</span></p>",knots studio,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,30020blu,1000.0,shopify,deny,manual,168.00,225.00,true,true,,,,,FALSE,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250710_140344_3.png?v=1752419774,1,"",false,,,,,,,,,,,,,,,,,Free shipping in the USA,,"Beech wood, Stiff foam, polyester vegan suede fabric.","Diameter: ﻿39 cm/ 15.5 inch  
Height: 35 cm / 13.3 inch  ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,,,stone; red; red-earth; gray,,,,,,,m-hull-basket-in-cream-vegan-suede; m-hull-basket-in-red-earth-ultra-suede-copy; m-hull-basket-in-graphite-ultra-suede-copy; s-hull-basket-in-cobalt-ultra-suede-copy,ahead,,,kg,,,active
s-hull-basket-in-cobalt-ultra-suede-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_181716.png?v=1752419912,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_182048.png?v=1752420094,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Screenshot_2025-07-14_at_11.37.07.png?v=1757400395,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede,(S) Hull Basket in Cobalt Ultra suede,"<p><span>Transform your space with our handcrafted storage baskets that bring sophisticated organization to your bedroom, living room, or entryway. Each basket is meticulously crafted by hand, creating a unique accent piece that serves both functional and aesthetic purposes. Perfect for shelves or floor placement, these versatile baskets elevate your home's style while keeping your space beautifully organised.</span></p>",knots studio,Home & Garden > Decor > Baskets,"","",true,Title,Default Title,,,,,,,,30010blu,500.0,shopify,deny,manual,101.00,135.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_164008.png?v=1752414781,1,"",false,,,,,,,,,,,,,,,,,Free shipping in the USA,,"Beech wood, Stiff foam, polyester vegan suede fabric.","Diameter: ﻿33 cm/ 13 inch  
Height: 25 cm / 10 inch     ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with mild soap and a wet towel. vacuum the basket to keep it fresh and clean.,,3,,stone; red; red-earth; gray,,,,,,,s-hull-basket-in-cobalt-ultra-suede; s-hull-basket-in-graphite-ultra-suede; m-hull-basket-in-red-earth-ultra-suede-copy-copy; s-hull-basket-in-cream-vegan-suede,ahead,,,kg,,,active
s-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_164649.png?v=1752414781,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Photoroom_20250713_163956.png?v=1752414781,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/IMG_4916_1_7a51d24b-c8b1-43a2-b47f-7ae67656611a.jpg?v=1752414781,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/Screenshot_2025-07-14_at_11.37.07.png?v=1757400395,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s-hull-basket-in-cobalt-ultra-suede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/ScreenShot2025-05-26at14.23.18.png?v=1752482403,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-velvet-knot-pillow,Ivory Velvet Knot Pillow,"<p>Bring luxury and elegance to any room with our perfectly crafted knot pillows. Each pillow is designed for ultimate softness and style, making it the perfect addition to any home decor.</p>",knots studio,Home & Garden > Linens & Bedding > Bedding > Pillows,Knot Pillow,"floor cushion, floor cushions, floor pillow, floor pillows, pouf, pouf_ottoman, velvet",true,Title,Default Title,,,,,,,,10010Ivr,300.0,shopify,continue,manual,101.00,125.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/ivory_pillow.jpg?v=1749728902,1,"",false,,This unique Knot cushion is inspired by nautical elements and aesthetics. The cushion utilizes a unique tying technique that makes the cushion beautiful and fun,,,,,,,,,,,,,,,,,"Foam, Upholstery materials, Velvet Polyester fabric.","Size: full Length: 55X55cm/ 21.6X21.6 inch
 Height:15 cm / 6 inch",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the pillow fresh and clean.                      ,,2,,,,,,,,,burgandy-velvet-knot-pillow-new; teal-velvet-knot-pillow-new; mauve-velvet-knot-pillow-new; ivory-velvet-knot-pillow; citron-velvet-knot-pillow; printed-throw-pillows-oceane-colors; printed-throw-pillows-sunset-colors; sterling-grey-velvet-knot-pillow-new; ivory-velvet-knot-pillow-new,ahead,,,kg,,,active
ivory-velvet-knot-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/ivorypillowp.jpg?v=1749728902,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivory-velvet-knot-pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/truffpillow_fb892148-b178-4d05-a70c-9e3dd3ed8ddc.jpg?v=1749728902,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-grey-velvet-woven-bench,Sterling Grey Velvet Woven Bench,"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>",Knots Studio,Furniture > Benches,Woven bench,"",true,Size,"37""",,,,,,,,20037Gry,6900.0,shopify,continue,manual,671.00,895.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7850_94767ec1-8c3b-49e4-9c71-d1f288cab085.jpg?v=1764765165,1,"A gray velvet woven bench with a wooden frame, likely beechwood, placed against a white background.",false,,"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years.",,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, Polyester Velvet/Suede fabric","Width: 94X32 cm / 37X12.5 inch | 120X32 cm / 47X12.5 inch
Height: 50 cm / 19.5 inch   ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean. ,,,,,,,,,,burgandy-velvet-knot-pillow-new; teal-velvet-knot-pillow-new; ivory-velvet-knot-pillow; printed-throw-pillows-oceane-colors; printed-throw-pillows-sunset-colors; sterling-grey-velvet-knot-pillow-new; ivory-velvet-knot-pillow-new; l-hull-basket-in-cobalt-ultra-suede; l-hull-basket-in-red-earth-ultra-suede; m-hull-basket-in-red-earth-ultra-suede-copy,burgandy-velvet-woven-bench; citron-velvet-woven-bench; ivory-velvet-woven-bench; mauve-velvet-woven-bench-1; petrol-velvet-woven-bench; sterling-grey-velvet-woven-bench; truffle-velvet-woven-bench,ahead,,,kg,,,active
sterling-grey-velvet-woven-bench,,,,,,,,,"47""",,,,,,,,20047Gry,9000.0,shopify,continue,manual,783.00,1045.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/greystool2_c7649ed6-cf26-435f-b5e4-e883c059768b.jpg?v=1747528059,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
sterling-grey-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/greystool3_135b0d2a-e49e-498a-aaf5-3f7e8687b112.jpg?v=1747528059,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-grey-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/silver_120.jpg?v=1747528059,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-grey-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/greystool_24987315-bb0b-4b42-8752-3b5ef6601ebd.jpg?v=1747528051,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sterling-grey-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/All_benches-03.jpg?v=1754771036,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truffle-velvet-woven-bench,Truffle Velvet Woven Bench,"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>",Knots Studio,Furniture > Benches,Woven bench,"",true,Size,"37""",,,,,,,,20037Trf,6900.0,shopify,continue,manual,671.00,895.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/truffle_bench.jpg?v=1754771036,1,"",false,,"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years.",,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, Polyester Velvet/Suede fabric","Width: 94X32 cm / 37X12.5 inch | 120X32 cm / 47X12.5 inch
Height: 50 cm / 19.5 inch   ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean. ,,,,,,,,,,burgandy-velvet-knot-pillow-new; teal-velvet-knot-pillow-new; ivory-velvet-knot-pillow; printed-throw-pillows-oceane-colors; printed-throw-pillows-sunset-colors; sterling-grey-velvet-knot-pillow-new; ivory-velvet-knot-pillow-new; l-hull-basket-in-cobalt-ultra-suede; l-hull-basket-in-red-earth-ultra-suede; m-hull-basket-in-red-earth-ultra-suede-copy,burgandy-velvet-woven-bench; citron-velvet-woven-bench; ivory-velvet-woven-bench; mauve-velvet-woven-bench-1; petrol-velvet-woven-bench; sterling-grey-velvet-woven-bench; truffle-velvet-woven-bench,ahead,,,kg,,,active
truffle-velvet-woven-bench,,,,,,,,,"47""",,,,,,,,20047Trf,9000.0,shopify,continue,manual,783.00,1045.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/AA8484B6-C06B-4954-B53D-C0FCAF42AF93.jpg?v=1754771036,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
truffle-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/trufllestool6_538966bb-631d-4175-8194-e73eff578616.jpg?v=1754771036,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truffle-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/trufllestool5_ca8654ab-21a1-4b34-97ff-f2fcc10d2e70.jpg?v=1754771036,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truffle-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/truffle_benc.jpg?v=1754771036,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
truffle-velvet-woven-bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/All_benches-03.jpg?v=1754771036,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauve-velvet-woven-bench-1,Mauve Velvet Woven Bench,"<p>The woven bench is a meticulously crafted piece that adds a playful yet sophisticated touch to any entryway or living area. Using a unique weaving technique, this handmade bench combines soft velvet fabric and durable Beechwood for both aesthetic and functional value that will endure for years to come.<strong data-mce-fragment=""1""></strong></p>",Knots Studio,Furniture > Benches,Woven bench,"",true,Size,"37""",,,,,,,,20037Mve,6900.0,shopify,continue,manual,671.00,895.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/mauve_bench.jpg?v=1747525433,1,"",false,,"Born of appreciation for elegance, the weaved bench is a handmade piece that brings a sculptural, playful air to any entryway or living space.

Each bench is crafted with care using a weaving technique that blends fine velvet fabric and natural Beechwood that is beautiful, functional and lasts for years.",,,,,,,,,,,,,,,,,"Beech wood, Stiff foam, Polyester Velvet/Suede fabric","Width: 94X32 cm / 37X12.5 inch | 120X32 cm / 47X12.5 inch
Height: 50 cm / 19.5 inch   ",,,,"Domestic Shipping (USA) All items ship directly from our US warehouse. Once we notify you that your order has shipped, standard delivery takes 5-7 business days. With over a decade of shipping experience, we guarantee your order will arrive safely.

International Shipping We offer worldwide shipping with the following estimated delivery times:

USA- 5-7 days
Europe :5-7 days
Asia: 7-10 days
Rest of world: 7-14 business days
Returns: We accept returns within 30 days of delivery. Please note that final sale items are ineligible for return.

How to Initiate a Return: If you decide to return your item, please contact us within 30 days of delivery by emailing info@knots-studio.com. We'll send you a prepaid shipping label to make the process easy.

Return Process: Returns for store credit and exchanges are free. Items must be in new, undamaged condition. They also must be returned in original, protective packaging to ensure your return arrives safe and sound.

Once you ship the item back using our provided label and it arrives at our warehouse, our team will inspect it to ensure everything is in perfect condition.

Refunds: Once the item is collected and inspected, your refund will be processed to the original form of payment. Please note:

Return shipping costs will be deducted
A $10 processing fee applies to all refunds
Store credit and exchanges are free from these fees

Important Information for International Customers Please be aware that customs duties and import taxes may apply to US and international orders. Buyers are responsible for any applicable customs fees, import duties, or taxes imposed by their local government.

We recommend checking with your local customs office before placing an order to understand potential additional costs. Please note that we cannot control or be held responsible for customs delays or associated fees.",,Spot clean with cold water and mild soap. Vacuum once a week to keep the cushion fresh and clean. ,,,,,,,,,,burgandy-velvet-knot-pillow-new; teal-velvet-knot-pillow-new; ivory-velvet-knot-pillow; printed-throw-pillows-oceane-colors; printed-throw-pillows-sunset-colors; sterling-grey-velvet-knot-pillow-new; ivory-velvet-knot-pillow-new; l-hull-basket-in-cobalt-ultra-suede; l-hull-basket-in-red-earth-ultra-suede; m-hull-basket-in-red-earth-ultra-suede-copy,burgandy-velvet-woven-bench; citron-velvet-woven-bench; ivory-velvet-woven-bench; mauve-velvet-woven-bench-1; petrol-velvet-woven-bench; sterling-grey-velvet-woven-bench; truffle-velvet-woven-bench,ahead,,,kg,,,active
mauve-velvet-woven-bench-1,,,,,,,,,"47""",,,,,,,,20047Mve,9000.0,shopify,continue,manual,783.00,1045.00,true,true,,,,,Fals,https://cdn.shopify.com/s/files/1/1129/5340/files/31F8D162-B6FC-4295-BACE-5258D358FA3B.png?v=1754770517,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
mauve-velvet-woven-bench-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools2_8d790c8e-d0dd-4c74-8194-758de0f7226f.jpg?v=1754770517,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauve-velvet-woven-bench-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestools3_2682ef4d-d96b-4c30-928f-171dd5e7e919.jpg?v=1754770517,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauve-velvet-woven-bench-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/mauvestool1_1d767097-f276-44b9-b8c9-741bbccd9956.jpg?v=1754770517,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauve-velvet-woven-bench-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/2V8A7819_7d867ce2-c160-4c18-b343-2e9a0ffd1827.jpg?v=1754770517,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mauve-velvet-woven-bench-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1129/5340/files/All_benches-03.jpg?v=1754771036,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
